Data,ClienteId,Operadora,Procedimento,Categoria,Qtde,PrecoUnitario,UF,Receita
2024-12-19,7,OperadoraC,Proc4,A,-2,347.88,MG,0.0
2024-01-26,13,OperadoraB,Proc1,A,3,578.0,BA,1734.0
2025-05-09,18,OperadoraA,Proc1,A,1,-17.63,SP,0.0
2024-04-17,17,OperadoraD,Proc5,C,1,40.38,PR,40.38
2024-10-29,16,OperadoraC,Proc1,C,5,394.98,SP,
2025-03-01,14,OperadoraB,Proc1,C,-1,419.22,MG,0.0
2024-03-28,16,OperadoraD,Proc3,C,2,56.69,MG,
2024-04-28,14,OperadoraA,Proc2,B,5,383.04,BA,1915.2
2024-05-25,15,OperadoraA,Proc1,A,1,283.98,MG,
2024-12-22,16,OperadoraA,Proc1,B,1,-128.57,MG,
2024-11-15,6,OperadoraB,Proc4,A,5,153.37,MG,766.85
2024-12-17,3,OperadoraD,Proc5,B,-3,530.75,BA,0.0
2025-04-11,19,OperadoraA,Proc3,C,1,125.74,BA,
